,Identifier,Company Name,Country of Exchange,Exchange Name,TRBC Economic Sector Name,Total Assets,ROA ,Total Current Assets,Total Debt,Total Equity,"Property/Plant/Equipment, Total - Net",Cash from Operating Activities,Cash from Financing Activities,Cash from Investing Activities,Price To Book Value Per Share ,Depreciation,Total Current Liabilities,Retained Earnings ,Cash and Short Term Investments,Cash Dividend Paid,Company Market Cap,Shares Held By Strategic Investors,Free Cash Flow,Total Revenue,"Accounts Receivable - Trade, Net",Accounts Payable,Total Common Shares Outstanding,TRBC Economic Sector Name,TRBC Business Sector Name,Price close,EBIT
1,CHP.HM,Central Hydropower JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Utilities,"3,272,703,458,540.00",7.10%,"395,359,537,730.00","1,261,980,213,570.00","1,894,194,143,810.00","2,793,264,019,180.00","310,915,750,990.00","-485,070,204,180.00","-4,514,560,900.00",2,"225,653,436,500.00","325,325,368,540.00","304,405,135,930.00","91,038,683,480.00","235,523,936,800.00","3,342,263,197,000.00","101,679,422.00","223,552,740,190.00","787,447,457,860.00","296,194,105,790.00","32,427,758,850.00","146,912,670.00",Utilities,Utilities,"21,432.43","420,262,903,120.00"
2,POM.HM,Pomina Steel Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"12,684,899,592,210.00",1.70%,"7,856,385,602,440.00","6,513,490,523,550.00","3,709,682,900,910.00","4,766,211,909,320.00","-544,323,917,340.00","835,259,531,570.00","8,793,528,320.00",1.1,,"7,844,431,080,660.00","657,837,041,660.00","394,070,247,620.00",,"4,080,662,948,899.99","172,835,626.00","482,081,130,330.00","13,999,252,169,230.00","1,407,947,782,650.00","1,336,917,357,040.00","278,543,600.00",Basic Materials,Mineral Resources,"14,650.00","349,267,268,710.00"
3,V21.HN,Vinaconex 21 JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"335,579,886,720.00",1.00%,"242,841,896,580.00","40,435,660,670.00","120,917,661,400.00","67,404,642,380.00","55,032,346,220.00","-14,810,117,800.00","-15,070,165,380.00",1.49,"1,349,332,130.00","188,845,815,220.00","259,022,070.00","30,211,112,290.00",,"166,797,067,100.00","2,549,492.00","4,991,456,450.00","125,499,975,940.00","64,096,912,220.00","52,328,994,960.00","11,999,790.00",Industrials,Industrial & Commercial Services,"13,900.00","6,638,465,080.00"
4,LIG.HN,Licogi 13 JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"5,192,754,538,200.00",0.90%,"3,480,836,199,480.00","1,469,638,274,980.00","709,545,980,430.00","1,063,766,524,200.00","392,892,288,520.00","-502,752,635,890.00","78,086,941,160.00",1.85,"27,540,309,190.00","3,276,833,705,820.00","52,006,205,490.00","185,391,187,650.00",0,"1,242,262,005,600.00","29,453,147.00","-127,186,202,530.00","2,439,778,222,620.00","989,997,938,420.00","972,735,913,900.00","64,034,120.00",Industrials,Industrial & Commercial Services,"19,400.00","146,406,628,680.00"
5,MCC.HN,High Grade Brick Tile Corp,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"92,957,144,460.00",2.40%,"26,202,345,950.00","4,000,000,000.00","71,033,770,230.00","2,730,796,210.00","9,112,224,140.00","1,000,000,000.00","-4,997,768,520.00",,,"21,190,910,610.00","3,262,543,070.00","5,180,353,780.00",0,"56,343,201,200.00","3,875,828.00","-2,091,286,090.00","40,953,605,310.00","6,293,668,100.00","10,475,412,840.00","4,986,120.00",Basic Materials,Mineral Resources,"10,923.34","2,817,838,400.00"
6,TET.HN,Northern Textiles And Garments JSC,Vietnam,HANOI STOCK EXCHANGE,Consumer Cyclicals,"110,818,149,050.00",10.40%,"73,093,294,380.00",0,"105,519,293,590.00","37,724,854,670.00","7,087,118,230.00","-5,134,367,500.00","3,037,193,100.00",1.73,,"5,298,855,460.00","19,163,757,070.00","70,387,997,610.00","5,134,367,500.00","179,642,610,000.00","5,253,141.00","8,835,353,600.00","22,593,129,150.00","1,320,000.00","301,630.00","5,702,940.00",Consumer Cyclicals,Cyclical Consumer Products,"31,199.99","5,322,920,980.00"
7,KSD.HN,DNA Investment Joint Stock Corp,Vietnam,HANOI STOCK EXCHANGE,Consumer Non-Cyclicals,"132,297,297,910.00",16.20%,"53,679,832,610.00",0,"120,620,407,820.00","56,556,785,710.00","-6,696,002,610.00",0,"-5,454,897,370.00",0.89,,"11,676,890,090.00","520,407,820.00","2,261,300,250.00",,"88,800,000,000.00","6,996,800.00","18,549,428,730.00","68,826,576,090.00","41,068,616,300.00","6,253,027,260.00","12,000,000.00",Consumer Non-Cyclicals,Personal & Household Products & Services,"7,400.00","-4,145,623,280.00"
8,NBW.HN,Nha Be Water Supply JSC,Vietnam,HANOI STOCK EXCHANGE,Utilities,"258,603,674,160.00",6.70%,"105,121,550,970.00",,"168,334,732,430.00","137,531,387,410.00","21,036,231,880.00","-12,501,460,940.00","-14,331,849,920.00",1.55,"32,876,839,370.00","89,863,941,730.00","17,753,142,930.00","66,496,653,960.00","12,501,460,940.00","255,060,000,000.00","9,113,770.00","22,800,473,330.00","748,627,592,420.00","24,997,531,820.00","60,043,233,160.00","10,900,000.00",Utilities,Utilities,"23,400.00","18,896,951,570.00"
9,TDC.HM,Binh Duong Trade and Development JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"5,238,944,792,620.00",2.20%,"2,526,593,380,970.00","1,706,024,488,270.00","1,248,665,089,830.00","2,316,366,749,350.00","-46,931,959,170.00","79,319,750,220.00","4,669,933,210.00",2.4,"23,497,712,820.00","3,147,945,855,810.00","137,548,018,840.00","65,295,311,360.00","45,495,820,000.00","2,799,999,999,999.98","66,848,946.00","101,298,082,550.00","1,658,207,395,530.00","610,587,524,520.00","1,474,312,724,110.00","100,000,000.00",Basic Materials,Mineral Resources,"28,000.00","437,566,863,020.00"
10,OGC.HM,Ocean Group JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Non-Cyclicals,"3,401,706,828,490.00",2.90%,"1,666,710,338,060.00","173,301,588,030.00","607,179,876,810.00","917,201,186,170.00","-134,000,399,360.00","17,929,578,880.00","-2,804,611,350.00",6.23,"68,872,727,540.00","845,412,153,990.00","-2,522,945,747,110.00","503,353,243,050.00",,"3,419,999,988,600.00","30,957,800.00","68,173,198,460.00","409,842,664,380.00","-3,828,723,263,230.00","34,970,146,990.00","300,000,000.00",Consumer Non-Cyclicals,Food & Beverages,"11,400.00","-19,857,488,220.00"
